,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
KRPPKCP0011,4791.966666666666,5155.8,3414.6111111111113,1155.1555555555556,27.155555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.133333333333333,51.51111111111111,0.0,23.944444444444443,90.08888888888889,26.57777777777778,0.0,58.0,0.0,631.0333333333333,768.8333333333334,1343.0444444444445
KRPPKCP0012,2135.288888888889,8194.455555555556,4334.077777777778,146.98888888888888,0.0,0.0,0.0,0.0,0.0,0.0,24.91111111111111,3.9,19.066666666666666,0.0,20.88888888888889,3.5555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRPPKCP0013,6462.0,3337.3555555555554,402.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,1897.2555555555555,3011.8888888888887
KRPPKCP0014,918.4444444444445,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,95.38888888888889,38.15555555555556,0.0,0.0,0.0,0.0,0.0,387.3666666666667,4129.9111111111115,2573.1444444444446
KRPPKCP0019,277.75555555555553,163.37777777777777,0.0,0.0,0.0,0.0,0.0,65.43333333333334,568.7777777777778,398.22222222222223,751.9111111111112,644.2777777777778,510.06666666666666,267.75555555555553,300.97777777777776,524.8,382.3777777777778,162.61111111111111,71.18888888888888,212.53333333333333,594.8,1074.0,1982.1777777777777,454.3222222222222
KRPPKCP0020,1203.0333333333333,217.42222222222222,0.0,0.0,0.0,0.0,0.0,97.62222222222222,697.5777777777778,1249.2,916.4,942.5444444444445,844.2333333333333,1389.0555555555557,1081.9333333333334,825.8444444444444,694.2444444444444,830.9777777777778,713.6555555555556,476.9111111111111,934.3555555555556,554.7444444444444,2304.5,483.72222222222223
KRPPKCP0021,516.3666666666667,1057.3444444444444,13.455555555555556,0.0,0.0,0.0,0.0,399.25555555555553,666.4666666666667,769.3111111111111,839.2333333333333,1154.2666666666667,860.0888888888888,471.14444444444445,964.7888888888889,1119.611111111111,604.4555555555555,516.3,614.2777777777778,709.2777777777778,977.0222222222222,719.1111111111111,348.0888888888889,1228.9
KRPPKCP0022,2565.1111111111113,854.4111111111112,123.15555555555555,0.0,0.0,0.0,0.0,490.9222222222222,739.7444444444444,1349.0222222222221,1342.6222222222223,1297.5666666666666,1137.9666666666667,1129.1555555555556,1052.8,758.0111111111111,963.4111111111112,802.3777777777777,1071.8111111111111,844.1444444444444,1445.911111111111,672.9555555555555,0.0,764.2555555555556
KRPPKCP0023,2661.822222222222,550.4333333333333,10.477777777777778,0.0,0.0,0.0,0.0,449.35555555555555,787.8,960.8,838.6,974.8777777777777,829.5666666666667,739.0444444444445,787.1222222222223,788.1444444444444,1014.2888888888889,502.8777777777778,688.7444444444444,863.7,941.7444444444444,731.6333333333333,78.35555555555555,825.5222222222222
KRPPKCP0024,1125.5333333333333,2284.988888888889,61.65555555555556,0.0,0.0,0.0,0.0,418.1333333333333,869.7555555555556,1432.5333333333333,1161.411111111111,1537.9,1140.1888888888889,1110.388888888889,1202.9444444444443,852.2333333333333,1026.7555555555555,1225.8,831.0111111111111,1479.2333333333333,1003.3888888888889,2113.4666666666667,2074.2,1359.7444444444445
KRPPKCP0025,26.444444444444443,0.0,0.0,0.0,13.2,0.0,45.9,1347.588888888889,971.1888888888889,1815.4888888888888,1697.9777777777779,1955.111111111111,1414.1,1124.0777777777778,1017.3777777777777,1283.7888888888888,837.7444444444444,867.7444444444444,976.5777777777778,937.6111111111111,989.6555555555556,838.7666666666667,2291.1444444444446,843.9
KRPPKCP0026,950.2222222222222,664.2555555555556,32.56666666666667,0.0,48.75555555555555,274.0888888888889,502.65555555555557,1125.4777777777779,1034.7222222222222,836.9111111111112,682.3222222222222,943.4666666666667,649.7555555555556,1032.8,330.0111111111111,533.8666666666667,596.1777777777778,663.3888888888889,763.5777777777778,700.3111111111111,1052.6333333333334,1008.5,741.7222222222222,706.0
KRPPKCP0027,258.77777777777777,89.93333333333334,0.0,0.0,47.93333333333333,75.3,6.888888888888889,76.07777777777778,177.07777777777778,219.33333333333334,141.9777777777778,198.5,233.1888888888889,154.0888888888889,251.2111111111111,97.2,87.12222222222222,73.97777777777777,149.27777777777777,72.64444444444445,42.0,288.14444444444445,523.6888888888889,848.9888888888889
KRPPKCP0028,1124.9333333333334,967.1,75.41111111111111,0.0,111.47777777777777,165.2,305.85555555555555,1047.2222222222222,934.3222222222222,1270.7555555555555,889.4555555555555,537.9666666666667,986.1777777777778,535.3444444444444,658.3444444444444,618.2555555555556,904.1777777777778,490.8888888888889,574.2777777777778,483.2888888888889,845.2111111111111,775.2444444444444,1112.0111111111112,708.0666666666667
KRPPKCP0029,869.1777777777778,17.22222222222222,0.0,0.0,0.0,77.42222222222222,221.2111111111111,1797.8222222222223,1182.8555555555556,1935.1666666666667,1980.8666666666666,1863.3777777777777,1683.5666666666666,1589.3333333333333,1470.7888888888888,1341.8333333333333,1243.888888888889,1435.3333333333333,1363.8333333333333,904.9555555555555,1182.8111111111111,1218.7555555555555,732.3777777777777,2432.6555555555556
KRPPKCP0030,1324.7888888888888,1310.5333333333333,170.67777777777778,40.5,137.83333333333334,196.36666666666667,298.9555555555556,304.2,478.7111111111111,602.8333333333334,423.1666666666667,547.3888888888889,503.56666666666666,381.8222222222222,522.8888888888889,301.9555555555556,183.95555555555555,229.85555555555555,247.7111111111111,381.6111111111111,434.65555555555557,489.65555555555557,665.8777777777777,458.25555555555553
KRPPKCP0031,2915.3888888888887,222.38888888888889,28.0,0.0,0.0,1.6333333333333333,108.92222222222222,1650.911111111111,1209.4888888888888,1902.0666666666666,1422.6444444444444,1358.911111111111,1753.9444444444443,1535.3222222222223,1417.411111111111,1170.6888888888889,1135.4555555555555,1011.0444444444445,995.7444444444444,1114.4555555555555,1288.0333333333333,925.7333333333333,610.3777777777777,1001.2666666666667
KRPPKCP0033,281.76666666666665,603.0777777777778,113.64444444444445,0.0,0.0,1120.1222222222223,1134.7111111111112,788.4222222222222,842.5222222222222,758.8444444444444,1056.1222222222223,1057.5333333333333,829.9555555555555,848.3555555555556,875.3666666666667,701.4666666666667,620.5888888888888,918.6888888888889,763.0,529.9555555555555,763.1555555555556,764.2555555555556,491.44444444444446,259.8
KRPPKCP0034,338.6333333333333,447.4,40.7,61.78888888888889,39.82222222222222,750.4777777777778,207.82222222222222,358.2,197.8111111111111,299.96666666666664,18.944444444444443,410.6777777777778,455.64444444444445,239.45555555555555,193.76666666666668,211.67777777777778,509.22222222222223,187.33333333333334,299.94444444444446,302.8777777777778,261.15555555555557,83.43333333333334,310.4222222222222,589.6333333333333
KRPPKCP0035,483.6111111111111,125.83333333333333,43.03333333333333,0.0,0.0,139.44444444444446,250.94444444444446,100.23333333333333,0.0,11.244444444444444,61.733333333333334,129.3,237.32222222222222,0.0,0.0,6.588888888888889,39.3,90.94444444444444,151.4,5.888888888888889,0.0,0.0,0.0,277.14444444444445
